geneIDA	geneIDB	bitScore
MTR_0001s0070	MTR_5g058210	265
MTR_0001s0120	MTR_0230s0040	147
MTR_0001s0120	MTR_3g048817	74.3
MTR_0001s0120	MTR_8g465240	67.8
MTR_0001s0160	MTR_8g442440	82.0
MTR_0001s0190	MTR_1g115490	176
MTR_0001s0190	MTR_7g022840	132
MTR_0001s0190	MTR_7g100335	103
MTR_0001s0260	MTR_0002s0070	94.0
MTR_0001s0260	MTR_0014s0410	122
MTR_0001s0260	MTR_0015s0170	86.3
MTR_0001s0260	MTR_0155s0050	123
MTR_0001s0260	MTR_0157s0040	108
MTR_0001s0260	MTR_0389s0020	104
MTR_0001s0260	MTR_3g040760	95.9
MTR_0001s0260	MTR_4g045943	112
MTR_0001s0260	MTR_8g059190	140
MTR_0001s0360	MTR_0023s0260	128
MTR_0001s0360	MTR_0193s0090	191
MTR_0001s0360	MTR_0197s0010	180
MTR_0001s0360	MTR_0247s0040	195
MTR_0001s0360	MTR_5g078800	278
MTR_0001s0360	MTR_5g078860	257
MTR_0001s0360	MTR_5g078910	313
MTR_0001s0360	MTR_5g078930	251
MTR_0001s0360	MTR_5g078950	305
MTR_0001s0360	MTR_5g079120	293
MTR_0001s0360	MTR_5g079220	294
MTR_0001s0360	MTR_5g079290	429
MTR_0001s0360	MTR_7g017260	313
MTR_0001s0360	MTR_8g060940	293
MTR_0001s0510	MTR_5g065315	80.5
MTR_0001s0580	MTR_5g024860	87.8
MTR_0001s0660	MTR_5g045710	599
MTR_0001s0700	MTR_0012s0240	123
MTR_0001s0700	MTR_0029s0220	87.0
MTR_0001s0700	MTR_0053s0040	85.5
MTR_0001s0700	MTR_0091s0050	122
MTR_0001s0700	MTR_2g460950	110
MTR_0001s0700	MTR_3g035270	65.1
MTR_0001s0700	MTR_3g450150	63.2
MTR_0001s0700	MTR_6g078050	61.2
MTR_0001s0700	MTR_8g028605	51.2
MTR_0001s0700	MTR_8g464510	113
MTR_0002s0020	MTR_0113s0040	343
MTR_0002s0020	MTR_1g101390	353
MTR_0002s0020	MTR_4g102770	354
MTR_0002s0020	MTR_5g010800	337
MTR_0002s0020	MTR_7g103380	317
MTR_0002s0040	MTR_0002s1060	338
MTR_0002s0040	MTR_0263s0020	549
MTR_0002s0040	MTR_1457s0010	244
MTR_0002s0070	MTR_0441s0020	87.0
MTR_0002s0090	MTR_0002s0110	2219
MTR_0002s0090	MTR_0002s0120	1271
MTR_0002s0090	MTR_0083s0120	725
MTR_0002s0090	MTR_1g008240	1264
MTR_0002s0090	MTR_2g063777	1504
MTR_0002s0090	MTR_3g028040	1496
MTR_0002s0090	MTR_3g030960	1489
MTR_0002s0090	MTR_3g030980	1486
MTR_0002s0090	MTR_3g031940	1451
MTR_0002s0090	MTR_3g032110	1253
MTR_0002s0090	MTR_3g032200	1465
MTR_0002s0090	MTR_3g032340	1221
MTR_0002s0090	MTR_3g032370	1459
MTR_0002s0090	MTR_3g032500	1441
MTR_0002s0090	MTR_3g032760	1474
MTR_0002s0090	MTR_3g032800	1498
MTR_0002s0090	MTR_3g032960	1497
MTR_0002s0090	MTR_3g033080	1170
MTR_0002s0090	MTR_3g033110	1359
MTR_0002s0090	MTR_3g033130	1199
MTR_0002s0090	MTR_3g033240	1371
MTR_0002s0090	MTR_3g033380	1400
MTR_0002s0090	MTR_3g033860	1494
MTR_0002s0090	MTR_3g034380	1504
MTR_0002s0090	MTR_3g034430	1441
MTR_0002s0090	MTR_3g034460	1379
MTR_0002s0090	MTR_3g035480	2151
MTR_0002s0090	MTR_3g035940	2221
MTR_0002s0090	MTR_3g035960	2153
MTR_0002s0090	MTR_3g435720	1484
MTR_0002s0090	MTR_3g435740	1405
MTR_0002s0090	MTR_4g050410	1461
MTR_0002s0090	MTR_6g084550	1186
MTR_0002s0090	MTR_7g078790	1083
MTR_0002s0090	MTR_8g030860	1398
MTR_0002s0110	MTR_0083s0120	726
MTR_0002s0110	MTR_1g008240	1283
MTR_0002s0110	MTR_2g063777	1506
MTR_0002s0110	MTR_3g030960	1477
MTR_0002s0110	MTR_3g030980	1472
MTR_0002s0110	MTR_3g031940	1433
MTR_0002s0110	MTR_3g032110	1243
MTR_0002s0110	MTR_3g032200	1465
MTR_0002s0110	MTR_3g032340	1214
MTR_0002s0110	MTR_3g032370	1438
MTR_0002s0110	MTR_3g032500	1439
MTR_0002s0110	MTR_3g032760	1471
MTR_0002s0110	MTR_3g032800	1483
MTR_0002s0110	MTR_3g032960	1491
MTR_0002s0110	MTR_3g033080	1164
MTR_0002s0110	MTR_3g033110	1349
MTR_0002s0110	MTR_3g033130	1169
MTR_0002s0110	MTR_3g033240	1383
MTR_0002s0110	MTR_3g033860	1483
MTR_0002s0110	MTR_3g034380	1502
MTR_0002s0110	MTR_3g034430	1434
MTR_0002s0110	MTR_3g035940	2332
MTR_0002s0110	MTR_3g435740	1384
MTR_0002s0110	MTR_8g030860	1398
MTR_0002s0120	MTR_0002s0110	1439
MTR_0002s0120	MTR_0083s0120	593
MTR_0002s0120	MTR_1g008240	824
MTR_0002s0120	MTR_3g032110	728
MTR_0002s0120	MTR_3g032200	895
MTR_0002s0120	MTR_3g032340	728
MTR_0002s0120	MTR_3g032500	889
MTR_0002s0120	MTR_3g032800	861
MTR_0002s0120	MTR_3g033080	798
MTR_0002s0120	MTR_3g033240	804
MTR_0002s0120	MTR_3g034380	855
MTR_0002s0120	MTR_3g035480	1424
MTR_0002s0120	MTR_3g035960	1259
MTR_0002s0150	MTR_4g006100	785
MTR_0002s0150	MTR_6g042200	778
MTR_0002s0160	MTR_3g450170	305
MTR_0002s0160	MTR_6g042210	305
MTR_0002s0170	MTR_4g006120	529
MTR_0002s0170	MTR_4g050950	532
MTR_0002s0170	MTR_7g021720	523
MTR_0002s0270	MTR_3g035635	141
MTR_0002s0280	MTR_0625s0020	157
MTR_0002s0280	MTR_7g055840	137
MTR_0002s0300	MTR_4g103280	122
MTR_0002s0310	MTR_3g035660	644
MTR_0002s0350	MTR_3g035700	177
MTR_0002s0350	MTR_4g047920	292
MTR_0002s0350	MTR_4g051430	288
MTR_0002s0380	MTR_4g051290	675
MTR_0002s0390	MTR_3g035685	501
MTR_0002s0390	MTR_4g051280	462
MTR_0002s0390	MTR_7g021760	461
MTR_0002s0540	MTR_1g109420	147
MTR_0002s0550	MTR_2g008350	402
MTR_0002s0590	MTR_4g051220	285
MTR_0002s0650	MTR_1g108765	639
MTR_0002s0650	MTR_1g108770	632
MTR_0002s0650	MTR_2g066870	395
MTR_0002s0660	MTR_4g051270	855
MTR_0002s0660	MTR_6g055010	897
MTR_0002s0660	MTR_7g021770	901
MTR_0002s0660	MTR_7g117930	901
MTR_0002s0690	MTR_4g050860	475
MTR_0002s0700	MTR_4g050850	160
MTR_0002s0700	MTR_5g055290	148
MTR_0002s0730	MTR_4g034690	261
MTR_0002s0740	MTR_4g051370	969
MTR_0002s0750	MTR_4g034790	321
MTR_0002s0760	MTR_4g051380	657
MTR_0002s0790	MTR_4g051410	265
MTR_0002s0860	MTR_4g017230	53.1
MTR_0002s0870	MTR_0003s0390	395
MTR_0002s0870	MTR_0017s0290	316
MTR_0002s0870	MTR_0073s0010	290
MTR_0002s0870	MTR_0118s0040	281
MTR_0002s0870	MTR_0356s0050	279
MTR_0002s0870	MTR_0550s0010	298
MTR_0002s0870	MTR_1g012040	490
MTR_0002s0870	MTR_1g081340	378
MTR_0002s0870	MTR_1g107470	346
MTR_0002s0870	MTR_1g116150	355
MTR_0002s0870	MTR_2g058780	356
MTR_0002s0870	MTR_2g066670	461
MTR_0002s0870	MTR_2g084465	265
MTR_0002s0870	MTR_3g031910	326
MTR_0002s0870	MTR_3g032470	239
MTR_0002s0870	MTR_3g034020	456
MTR_0002s0870	MTR_3g434910	295
MTR_0002s0870	MTR_4g132830	319
MTR_0002s0870	MTR_5g024850	321
MTR_0002s0870	MTR_5g032940	362
MTR_0002s0870	MTR_5g040660	277
MTR_0002s0870	MTR_5g059380	361
MTR_0002s0870	MTR_5g061500	466
MTR_0002s0870	MTR_5g071480	284
MTR_0002s0870	MTR_7g018160	305
MTR_0002s0870	MTR_7g034270	400
MTR_0002s0870	MTR_7g062790	359
MTR_0002s0870	MTR_8g061330	416
MTR_0002s0870	MTR_8g469370	409
MTR_0002s0880	MTR_6g037960	79.7
MTR_0002s0880	MTR_8g058405	84.7
MTR_0002s0890	MTR_1g094010	908
MTR_0002s1060	MTR_0002s0040	338
MTR_0002s1060	MTR_0263s0020	332
MTR_0002s1060	MTR_1457s0010	208
MTR_0002s1180	MTR_3g037260	1145
MTR_0002s1180	MTR_5g067690	1320
MTR_0002s1220	MTR_1g045340	364
MTR_0002s1220	MTR_1g070820	408
MTR_0002s1220	MTR_3g111390	408
